"","name","n","p","m","N","kappa","sigma","ratio","averaged","centralized"
"12333",non-linear,616,124,100,61600,0.2,1,5.42807552768692,0.00143396752430342,0.000264176044896427
"12334",non-linear,616,124,100,61600,0.2,1,3.75216665659869,0.00118917299706547,0.000316929685139157
"12335",non-linear,616,124,100,61600,0.2,1,3.24839112931308,0.00103520198581806,0.000318681447094385
"12336",non-linear,616,124,100,61600,0.2,1,4.67544576902341,0.0013308538998596,0.000284647489374598
"12337",non-linear,616,124,100,61600,0.2,1,4.59046212349385,0.00129060766656568,0.000281149834558135
"12338",non-linear,616,124,100,61600,0.2,1,3.9320965867247,0.00133183678372823,0.000338709071446692
"12339",non-linear,616,124,100,61600,0.2,1,3.77413288443841,0.00109364388714132,0.000289773550807037
"12340",non-linear,616,124,100,61600,0.2,1,4.58487258910371,0.00133145494393142,0.000290401732666622
"12341",non-linear,616,124,100,61600,0.2,1,4.07480108519613,0.00101448342401535,0.00024896514033556
"12342",non-linear,616,124,100,61600,0.2,1,3.93455648764001,0.0012075368887903,0.000306905465097185
"12343",non-linear,616,124,100,61600,0.2,1,4.68948823918191,0.00118388528349655,0.000252455113034484
"12344",non-linear,616,124,100,61600,0.2,1,6.35940919053797,0.00175841812392241,0.000276506523049142
"12345",non-linear,616,124,100,61600,0.2,1,4.25362953014412,0.00116731185092726,0.000274427249165657
"12346",non-linear,616,124,100,61600,0.2,1,4.66548920634436,0.00124113043895048,0.000266023643836263
"12347",non-linear,616,124,100,61600,0.2,1,5.35462222818076,0.00113434756367664,0.00021184455510357
"12348",non-linear,616,124,100,61600,0.2,1,4.0404278043834,0.00124946935381464,0.000309241846236953
"12349",non-linear,616,124,100,61600,0.2,1,4.27132096889574,0.00116983718323823,0.000273881825261347
"12350",non-linear,616,124,100,61600,0.2,1,3.03207711726436,0.00128490013837057,0.00042376895068218
"12351",non-linear,616,124,100,61600,0.2,1,4.62338709281353,0.00144418842541565,0.000312365890292955
"12352",non-linear,616,124,100,61600,0.2,1,4.73526546078504,0.00124157488646896,0.000262197525513833
"12353",non-linear,616,124,100,61600,0.2,1,4.17957177900625,0.00130858101336714,0.00031308973324494
"12354",non-linear,616,124,100,61600,0.2,1,3.81004276467741,0.00112465862038351,0.000295182676375743
"12355",non-linear,616,124,100,61600,0.2,1,4.77889112477876,0.00118831171469556,0.000248658461485785
"12356",non-linear,616,124,100,61600,0.2,1,5.52701315715846,0.00135157670378819,0.000244540163983084
"12357",non-linear,616,124,100,61600,0.2,1,3.84340604853457,0.00110144475746366,0.00028658037780932
"12358",non-linear,616,124,100,61600,0.2,1,3.49909706925811,0.000972672797578527,0.000277978226475654
"12359",non-linear,616,124,100,61600,0.2,1,5.06275849705339,0.00132116933942928,0.00026095839653387
"12360",non-linear,616,124,100,61600,0.2,1,3.60040370601155,0.00106465680798592,0.000295704841712134
"12361",non-linear,616,124,100,61600,0.2,1,4.56138722943168,0.00117572271703812,0.000257755515570339
"12362",non-linear,616,124,100,61600,0.2,1,3.55167308296644,0.00110364539919791,0.000310739579183374
"12363",non-linear,616,124,100,61600,0.2,1,3.70377001617493,0.00109519421025605,0.000295697142498904
"12364",non-linear,616,124,100,61600,0.2,1,3.83767447803194,0.00116657720193631,0.000303980238192208
"12365",non-linear,616,124,100,61600,0.2,1,3.42573047133915,0.00100515629420343,0.000293413712086493
"12366",non-linear,616,124,100,61600,0.2,1,6.61585485016093,0.00149595491572499,0.00022611664699515
"12367",non-linear,616,124,100,61600,0.2,1,4.07848792368479,0.00119568268793264,0.000293168132480917
"12368",non-linear,616,124,100,61600,0.2,1,5.04982221689968,0.00161076149861868,0.00031897390233425
"12369",non-linear,616,124,100,61600,0.2,1,5.42014770038899,0.00149648517337999,0.000276096751620365
"12370",non-linear,616,124,100,61600,0.2,1,3.86097894511611,0.001242806070326,0.000321888849432361
"12371",non-linear,616,124,100,61600,0.2,1,4.81643363054086,0.00119572882112579,0.000248260209285085
"12372",non-linear,616,124,100,61600,0.2,1,4.05643656382603,0.00125152974931599,0.000308529353195543
"12373",non-linear,616,124,100,61600,0.2,1,4.33431277456349,0.0011738584635284,0.000270829200517635
"12374",non-linear,616,124,100,61600,0.2,1,4.73778358500054,0.00130510388421377,0.000275467180127356
"12375",non-linear,616,124,100,61600,0.2,1,3.93880845995105,0.00115785920484879,0.000293961794949324
"12376",non-linear,616,124,100,61600,0.2,1,4.42833345467717,0.00118526426520017,0.000267654700652298
"12377",non-linear,616,124,100,61600,0.2,1,4.81526670618621,0.00128617643729013,0.000267103883495751
"12378",non-linear,616,124,100,61600,0.2,1,5.03622780334251,0.00153226741212181,0.000304249027636291
"12379",non-linear,616,124,100,61600,0.2,1,3.38394186598242,0.00102811152801415,0.000303820682721944
"12380",non-linear,616,124,100,61600,0.2,1,3.72650320200439,0.00130500259922175,0.000350194949120083
